year,month,bx_gsm,by_gsm,bz_gsm,bt,intensity,declination,inclination,north,east,vertical,horizontal
2014,5,-1.26,-2.3,3.58,1.68,55113,-69.31,-41.689,-72,-34,61953,406
2012,5,8.81,-3.88,-3.1,2.7,53096,-9.527,38.55,267,295,53132,47
2013,11,-0.17,-5.71,-6.72,4.91,50712,-159.837,29.742,-4,295,60230,38
2023,4,-2.15,8.29,9.04,3.57,57090,-64.936,10.897,451,322,51942,401
2017,2,8.72,-8.22,-9.1,0.1,69932,-52.621,28.611,259,34,58128,16
2021,8,-4.86,9.1,-5.84,0.16,69407,-156.008,-3.129,62,-443,68362,100
2013,9,-2.23,2.79,-0.83,5.65,51576,128.331,-52.191,-98,-2,68324,326
2018,10,-5.5,7.16,-8.69,3.65,65581,120.154,12.051,-231,301,64278,182
2017,3,0.87,-2.9,5.5,5.73,50331,-33.032,-42.319,259,-251,50449,34
2019,8,-2.27,-2.74,4.81,3.75,64803,-174.564,-14.974,456,-134,53247,22
2016,11,6.03,9.96,-3.28,3.38,55658,2.569,64.479,265,-357,61959,412
2021,3,0.35,-8.68,5.36,5.58,60678,-16.778,-21.734,-395,187,55534,248
2022,7,2.75,-9.82,-5.89,3.28,66034,-25.288,-7.983,-272,450,54026,316
2022,6,9.39,-4.44,-8.19,2.66,50945,94.496,32.92,108,15,67941,164
2017,11,-2.52,0.36,9.93,0.48,61183,135.165,80.87,-409,-433,55119,419
2021,7,-0.35,6.8,9.23,1.68,51218,45.36,0.999,-4,68,66943,359
2018,12,5.58,2.48,7.25,5.59,65850,-112.931,-11.168,155,-470,54281,67
2014,9,9.89,-6.05,7.59,2.84,53021,142.905,-31.335,-388,17,60929,309
2022,5,-0.08,3.45,-7.79,5.4,60676,-162.793,46.888,386,243,56649,131
2014,4,0.51,3.04,-2.48,6.48,68343,-111.502,-68.955,-451,281,65461,337
2023,2,8.39,-2.45,4.06,6.35,69403,87.752,-71.573,-310,-411,54709,116
2013,10,2.44,-2.31,3.03,7.19,66906,169.633,86.441,391,47,60226,131
2020,8,4.48,5.52,4.44,5.09,51919,32.258,50.091,225,-182,53411,147
2018,1,-6.5,5.17,-4.85,6.65,66984,-106.835,-87.228,-122,-265,59274,396
2019,7,9.3,-5.35,6.35,1.13,63595,115.035,-30.468,129,-160,50692,491
2012,4,4.13,7.47,-9.65,1.53,62208,136.365,-19.491,-478,25,59751,422
2016,6,1.55,3.45,3.88,9.64,64094,116.399,40.116,184,138,53717,259
2021,8,-2.47,9.3,0.27,6.48,68207,44.281,31.797,-362,-146,65284,211
2017,9,-3.26,8.28,1.44,0.4,54127,-143.055,19.93,205,210,64421,444
2020,6,-6.38,-1.94,-4.37,7.73,63426,60.17,-14.824,-130,-124,68134,343
2022,2,-3.02,3.38,8.14,1.91,65699,-171.829,37.376,-148,378,51900,327
2017,4,-0.44,-6.94,-2.53,3.21,55635,-73.037,54.085,291,498,52087,205
2017,10,1.13,-4.52,9.91,7.73,69069,112.658,31.332,-220,-377,51899,316
2023,6,-3.18,3.64,-4.57,7.75,68748,-155.295,-57.895,-283,220,56540,352
2020,12,-0.65,8.06,9.48,5.96,63642,-144.79,-38.408,-158,278,67342,372
2017,8,0.63,7.88,0.47,3.68,62318,-164.408,43.226,-375,125,62156,246
2014,5,-6.28,5.46,8.71,1.78,65532,29.291,-66.034,-337,-164,63427,395
2020,8,-4.4,-7.63,1.86,7.46,63812,-165.617,-52.705,-48,85,63112,274
2023,11,-6.45,6.46,-3.54,0.04,60620,72.451,-54.183,-263,273,63316,122
2021,11,-3.6,0.01,-8.38,8.25,51867,165.892,79.094,-425,183,59336,315
2012,11,-0.06,-5.31,-0.51,9.94,53131,-111.554,11.871,465,439,50296,59
2020,4,3.65,-1.78,7.32,4.61,56351,62.574,-71.511,-431,-308,51860,240
2016,2,8.11,2.02,-4.33,3.45,52372,14.33,-52.411,-110,59,64361,460
2022,6,-6.55,-2.37,-2.56,5.9,52022,145.925,-86.019,394,43,55717,183
2013,9,-9.48,-3.68,3.46,1.49,63521,-8.772,-43.632,-71,147,56082,29
2022,11,0.72,-0.44,-8.26,5.17,56459,62.579,84.617,-184,-482,59400,201
2016,1,-0.76,-5.27,2.05,3.85,65577,-69.212,-35.297,-5,-470,55306,429
2022,3,7.8,-3.66,-4.78,0.49,54113,160.204,-49.251,8,104,62420,301
2014,9,7.74,0.26,1.18,1.86,56640,-69.428,19.307,93,229,59304,163
2015,4,-9.83,-3.02,-9.83,3.18,69142,-170.217,10.375,267,328,58289,284
2013,5,0.86,8.36,-7.46,2.67,52154,25.652,8.105,-332,-242,52305,317
2023,12,9.27,6.58,-0.56,3.14,66177,-71.672,-23.691,131,-266,54768,491
2023,3,-0.17,-1.99,-5.85,9.45,55736,-163.461,45.676,-150,487,56878,44
2016,9,-1.12,8.27,-9.93,5.83,55720,5.619,24.081,441,-438,55843,393
2017,6,8.04,-9.59,8.72,0.08,54802,12.338,-65.249,195,354,57144,175
2017,12,-5.07,7.7,-9.52,6.19,57786,-139.989,74.254,-470,-196,50509,22
2018,3,2.56,-6.67,2.29,6.9,69554,-128.863,58.572,-460,381,62320,203
2020,6,2.05,-0.77,9.27,3.35,62258,-49.361,-4.468,73,373,60710,455
2018,1,8.56,2.22,-2.66,9.37,57861,138.358,-88.776,274,-241,60212,159
2018,5,8.73,-2.45,-0.29,3.8,68844,162.418,-81.854,-77,-17,55940,65
2016,12,0.38,1.85,5.37,9.39,53410,-11.819,-25.522,3,40,59034,479
2013,9,7.76,-7.37,1.36,8.57,62560,-36.384,15.902,-362,421,53887,123
2017,9,-9.87,-7.53,7.7,2.86,64765,-124.917,38.811,-350,488,59382,158
2023,5,-7.16,-3.95,8.34,6.24,62009,-49.145,-25.259,108,173,54691,134
2015,6,-4.02,-2.84,-6.7,5.42,59076,-175.909,-68.384,-134,-245,68887,483
2015,3,-7.19,4.2,-2.99,1.03,59904,-75.053,34.828,408,-398,62884,280
2022,7,8.67,3.88,6.56,4.02,57740,-5.507,24.465,-191,185,66411,354
2021,3,7.49,-7.23,-7.67,6.39,51197,55.209,57.002,337,-223,50096,425
2012,7,-5.33,-8.8,-6.4,9.43,51974,53.669,12.311,128,209,53252,299
2016,11,9.63,-7.27,3.74,5.78,51678,176.767,-87.521,-178,192,65212,435
2020,9,1.41,3.95,0.38,9.72,64884,-78.455,42.874,42,375,52809,392
2016,11,-4.02,-8.86,6.36,0.81,69958,-51.796,5.998,-56,485,64129,116
2022,10,-4.54,4.02,-4.38,4.07,63292,-60.463,-33.654,-54,-301,63860,350
2012,2,-3.09,-3.88,-2.36,2.66,64619,-1.369,88.375,6,-291,52224,265
2021,1,-5.49,-8.33,-5.32,7.69,66366,-0.955,38.797,25,171,52245,157
2013,2,2.23,3.65,0.33,8.42,60038,121.907,74.445,-260,390,56006,236
2018,8,5.25,-0.5,-4.56,2.8,55124,61.856,49.49,174,-338,65579,322
2022,8,6.67,-9.44,-1.57,0.5,51759,-125.511,78.506,-15,222,55075,432
2019,6,-1.81,2.42,5.85,5.26,56770,54.49,-15.363,44,241,63442,340
2012,5,-6.04,-0.52,-2.25,2.83,63817,-21.35,-80.926,-307,-327,61424,115
2016,4,-1.69,-3.66,3.67,1.7,63940,172.23,46.45,-474,-315,61418,4
2019,5,-7.84,5.32,-5.03,7.11,66234,50.867,9.498,-241,94,55973,308
2014,5,-1.56,-8.19,0.99,7.66,62548,171.334,15.754,-398,110,69779,497
2017,4,4.28,-7.44,-0.32,0.71,61777,38.848,-84.256,122,21,63950,52
2022,5,-0.44,0.78,4.84,9.95,64506,-120.199,78.603,-77,-26,66994,250
2023,6,1.26,7.88,-9.47,5.4,51874,38.367,44.453,-154,35,60686,231
2018,8,-1.99,-7.61,-4.72,4.05,60032,-56.774,-27.774,352,-168,60522,453
2014,8,-3.19,-0.27,-5.46,5.8,51682,39.281,62.304,-20,238,66875,50
2020,8,6.4,8.58,4.82,2.99,50018,26.445,9.886,-87,254,53739,136
2013,9,0.61,8.96,-3.36,2.2,59775,146.44,29.317,-79,424,56537,21
2012,9,-7.03,-7.29,4.57,6.99,52753,-162.441,12.167,-170,171,60504,367
2012,11,4.94,0.92,-7.08,6.62,61655,117.03,60.521,411,-473,64804,108
2022,12,-6.1,-7.63,5.4,7.18,59623,-149.751,5.458,-330,413,65847,161
2012,10,-6.37,3.07,7.44,5.65,59278,-54.268,-80.818,412,-352,53916,347
2022,6,0.53,0.22,-0.45,3.18,64509,-97.098,17.346,40,-313,65679,174
2012,10,-0.06,4.59,-4.54,6.19,58563,-155.633,10.929,372,4,57880,312
2017,11,-2.78,-2.23,2.19,1.47,66655,-48.573,11.717,-453,136,53524,299
2021,5,3.74,-2.33,7.67,4.41,55826,63.52,-22.03,169,-31,66569,273
2023,1,-4.86,-2.75,1.6,4.38,51800,-79.149,51.505,-356,312,55585,13
2012,9,-4.94,-8.78,5.02,0.32,58428,-132.479,87.524,460,235,56054,8
2022,5,-1.55,-8.91,-3.48,2.25,59089,144.869,-33.231,-46,418,52018,318
2022,5,-7.01,-2.61,-4.03,0.12,66297,128.044,-83.78,78,112,53273,183
2014,8,-8.13,7.14,3.56,6.73,53242,-8.744,-69.393,272,-462,55341,330
2017,3,-4.84,-1.63,-0.94,1.11,66646,162.867,41.113,323,-59,68558,467
2015,11,-5.46,9.98,7.92,7.24,66968,112.741,75.488,-142,-87,69628,418
2016,8,6.79,-3.96,-1.09,0.13,59198,-85.366,65.631,494,-210,66323,321
2017,8,-9.0,-6.36,0.46,2.34,66144,-55.205,50.449,281,267,64391,179
2016,7,-4.39,-6.94,-9.77,7.21,59114,58.972,36.287,-63,-188,66416,359
2016,3,2.19,2.41,-8.63,9.02,64097,177.554,4.836,220,-248,56204,380
2018,12,7.14,0.64,-5.3,1.79,55594,-145.158,-72.942,-190,69,69576,54
2013,5,-7.16,-0.51,3.71,7.71,68804,164.6,-73.289,-65,-37,51825,413
2012,3,7.35,7.39,3.95,6.23,57927,19.413,-30.967,-208,468,66799,417
2012,9,6.15,1.71,-4.88,8.39,62207,80.799,69.542,188,8,68100,5
2022,8,4.3,7.82,-4.53,2.3,58463,-158.662,-57.023,-237,245,68309,160
2015,3,3.02,5.72,7.79,1.86,60820,112.091,-5.825,463,452,53398,165
2021,9,2.28,-9.57,-5.25,7.75,56074,-10.795,48.878,131,-159,61667,443
2023,1,8.59,5.34,-1.65,5.05,59518,-20.807,-55.193,161,418,51922,200
2014,1,-4.42,-8.62,-2.61,1.99,63304,-139.108,31.793,-1,496,69340,227
2017,10,-9.48,6.45,-6.89,9.11,59463,11.17,-11.47,44,261,67501,229
2013,3,-0.65,0.1,-3.17,1.28,51202,130.126,32.147,16,488,64204,199
2019,5,2.08,-5.66,-0.26,0.91,58257,156.584,43.564,-449,-133,59284,69
2017,9,-5.44,-7.61,4.34,1.29,53773,-121.469,-26.07,-233,-143,67990,282
2018,8,-8.43,1.56,-6.35,8.06,56044,-166.824,-17.383,216,345,69073,353
2016,11,9.15,6.97,-7.02,7.91,57371,-177.0,3.912,-123,455,67294,409
2022,10,-0.04,9.53,1.85,7.25,66033,130.878,-83.805,-211,382,67253,468
2023,12,0.45,-2.39,-5.86,9.91,61943,159.285,-15.048,453,-143,60160,386
2014,1,-7.76,-3.78,-1.71,9.92,54338,-27.537,54.507,171,28,68756,339
2014,3,7.13,-6.91,-0.37,0.57,52718,52.859,-32.268,-41,-152,53764,199
2012,4,6.34,-7.15,-5.64,3.51,66521,157.215,13.897,-64,-210,60126,69
2017,7,8.22,1.5,-0.52,8.02,66695,-64.488,-25.963,425,-62,67457,332
2015,11,-1.55,-4.58,2.43,0.95,58581,124.851,83.846,17,64,50969,435
2019,3,8.98,3.33,-4.42,1.93,63278,83.976,74.779,-428,118,51536,198
2023,12,-7.11,-2.83,0.33,3.5,65650,56.768,-74.899,496,-331,50718,112
2022,1,-8.44,3.42,3.18,7.58,60989,-22.896,39.806,277,-223,56654,453
2016,6,-7.14,2.17,7.11,7.71,60219,-45.982,-73.227,-402,472,60880,223
2022,1,-4.81,5.68,-1.96,5.58,50377,-48.656,-13.612,483,-377,58349,266
2012,12,6.82,-4.39,3.83,7.9,51733,-72.079,-79.789,-65,-292,59770,239
2015,10,0.01,-5.32,7.0,6.81,57948,34.584,47.673,-295,-398,53592,294
2016,1,7.08,4.95,1.04,1.79,52855,1.434,-67.163,315,-42,51038,425
2023,10,-3.63,-5.28,-0.58,9.62,68954,-147.239,45.694,-117,-75,66069,166
2013,3,-4.6,-0.66,-3.52,6.95,52931,127.006,88.909,-263,407,60047,37
2016,5,-1.76,1.09,-9.98,0.67,50511,121.066,-74.537,134,341,64997,254
2021,4,-6.36,-2.36,-2.73,8.03,56693,133.687,87.951,-220,462,61863,281
2020,2,6.03,9.24,7.55,2.74,64867,145.263,-71.995,-475,138,62513,37
2023,2,8.84,9.98,-8.14,4.82,57300,82.376,-70.013,-286,-209,66517,19
2017,6,5.0,5.59,-8.7,7.12,65798,-107.068,-63.379,-285,230,56894,450
2019,10,6.81,-8.44,6.05,8.04,58970,-83.25,65.174,259,36,67946,283
2015,6,-1.14,2.05,-4.83,4.88,54240,168.852,46.245,-343,254,62640,184
2021,12,-8.22,-6.03,0.84,5.59,50238,48.708,-53.431,2,225,58104,457
2022,10,7.62,3.41,1.04,5.33,67473,44.888,25.619,-378,-170,64464,87
2021,6,-7.01,-3.26,2.01,0.57,65634,6.429,35.998,-99,104,60322,433
2023,8,9.84,-5.55,3.03,2.97,60164,-121.088,39.635,-82,295,56599,231
2013,4,-4.42,5.61,9.11,3.95,66541,141.378,-77.213,413,95,59425,228
2015,7,-6.38,3.3,-4.78,6.89,66574,-156.809,-30.928,-72,298,62562,0
2019,1,1.64,-0.11,2.86,8.7,67544,72.341,55.551,-79,-473,54907,119
2021,12,-4.17,1.0,-1.82,7.98,64718,-149.451,63.976,111,177,64774,179
2016,2,8.55,9.46,-4.36,0.59,65174,-63.317,-46.629,-337,187,59307,309
2018,9,4.94,8.86,0.25,6.34,69590,70.621,83.573,238,254,67015,415
2020,6,-5.7,3.08,3.69,7.85,56443,115.492,-50.286,-498,206,61425,293
2012,12,-1.01,8.8,-0.42,4.99,69178,166.221,38.182,284,201,67107,354
2019,5,-5.68,-0.34,-9.21,8.54,59862,-15.028,15.972,53,25,51363,55
2013,5,-3.89,2.74,7.4,3.53,60916,-51.347,-89.471,24,23,69621,425
2020,3,-2.02,5.81,-6.96,7.37,66808,55.355,13.377,499,131,51578,250
2020,12,-3.73,0.08,8.66,0.01,55576,135.248,-26.043,425,321,54794,44
2017,12,-8.8,-6.62,-8.22,4.61,52417,6.111,83.291,-434,-234,58947,237
2020,1,8.68,-8.83,4.93,8.42,59793,-98.582,-10.298,-261,-101,51043,311
2023,10,-8.58,-0.37,1.44,6.63,68344,-43.17,-79.133,-352,27,50876,331
2023,11,-7.44,7.67,3.88,2.53,57568,59.221,-81.331,-160,312,65384,190
2018,11,-6.08,6.5,-3.72,5.93,60481,136.402,56.495,-480,-159,57414,499
2013,5,-0.5,4.98,9.68,2.26,59599,11.42,-43.578,410,407,60629,376
2014,11,2.59,4.31,-6.28,0.6,59952,163.981,-12.461,234,149,63104,199
2022,1,-5.33,-8.92,4.73,0.13,53653,-0.423,14.712,-327,338,57352,321
2013,11,4.13,-3.28,-0.55,2.42,54610,-60.82,-56.278,280,-274,64901,161
2021,10,8.66,-5.56,4.04,2.57,61848,-122.562,13.428,80,-309,63164,117
2016,3,5.05,0.73,-2.93,3.94,64225,16.422,25.517,-209,-145,60578,211
2022,5,1.75,-8.96,6.05,2.83,58724,-1.006,-81.527,40,294,61537,28
2021,11,7.44,0.04,8.77,6.8,61996,1.191,-42.445,39,-346,61971,378
2016,2,-0.62,2.68,-1.84,1.0,51043,-80.456,33.442,142,-107,54691,317
2013,1,8.29,0.13,-2.62,1.88,51800,126.244,-60.501,162,341,59450,179
2022,2,3.52,9.21,-6.73,7.54,60293,-121.966,-63.033,-185,15,63105,182
2012,12,4.15,1.07,3.81,9.43,65688,22.868,-0.733,202,433,61421,69
2017,5,-8.34,6.0,-4.54,6.79,53466,114.976,-48.971,483,386,63745,243
2016,12,-1.43,6.05,0.89,8.12,56808,-63.97,-72.055,-307,-386,55182,153
2016,12,-6.09,6.93,9.81,9.71,60771,-95.529,-22.747,-73,-175,51884,140
2018,3,-0.0,-0.03,-1.78,1.17,63203,137.557,69.283,-224,-485,56680,17
2015,7,5.0,-2.34,-4.95,9.68,57126,66.135,-78.69,94,343,53764,182
2022,12,3.5,-0.09,-1.28,1.08,65644,-26.592,53.833,109,456,58100,363
2023,6,6.63,-6.54,2.85,2.52,52926,-112.163,-66.425,331,-498,60698,169
2015,8,0.4,8.64,-3.01,9.7,66572,-140.727,26.044,-377,84,69688,56
2016,6,-6.88,6.6,1.89,7.54,53569,-17.249,35.145,-238,102,56148,67
2017,9,-3.35,-9.52,8.01,1.78,55959,179.574,87.108,-7,-309,52920,1
2021,2,8.26,-6.91,-4.54,8.9,66308,-89.582,52.225,212,-372,61634,50
2019,10,-3.72,1.02,-1.78,5.0,57539,24.724,-24.811,69,-217,51985,465
2018,2,0.56,0.26,3.52,2.04,68521,-91.025,-79.02,-345,-499,55377,463
2021,11,-0.05,0.59,1.31,6.16,63649,-58.751,16.663,6,-227,58019,347
2021,8,5.1,-1.14,-0.12,1.68,67503,19.393,-58.705,358,-158,62120,364
2015,2,-2.58,4.11,4.15,4.38,68810,23.378,18.427,206,-35,68085,473
2013,10,-2.85,7.83,5.47,2.17,53475,-45.317,-13.38,-333,-489,67030,307
2019,8,-6.98,5.63,-4.87,0.58,64252,129.151,73.41,223,357,56336,281
2021,9,-7.31,-7.13,1.52,3.61,62735,-81.378,0.486,-447,491,68818,123
2022,9,0.91,-4.15,-5.25,9.47,63513,-83.765,27.169,345,-110,56403,331
2015,1,-6.71,5.76,4.46,9.55,58920,-65.818,-54.262,257,-284,57701,382
2013,8,9.44,-9.35,-4.35,3.21,53291,126.64,-47.9,156,262,56666,282
2013,2,-5.73,1.13,9.37,1.12,56722,-6.375,-3.218,-369,244,68518,304
2018,7,-5.05,-8.44,2.94,0.08,53407,-107.4,-40.313,-399,241,62929,192
2013,9,-5.41,7.44,3.35,8.22,67725,77.552,36.986,414,-282,66119,127
2022,12,4.23,4.05,-0.6,9.04,63829,-52.616,17.376,192,39,67670,488
2012,2,2.91,8.82,-1.42,5.02,50957,138.96,-57.832,7,-380,53809,473
2016,8,-7.17,5.69,0.22,0.67,53290,9.217,79.546,-67,-251,64046,492
2020,7,7.68,-2.24,-6.2,0.16,55968,-172.581,53.876,419,271,65140,259
2019,11,0.3,7.9,-0.88,6.06,69710,163.743,45.134,111,-158,64627,102
2022,8,-6.17,-3.81,6.61,3.6,51714,6.223,-32.273,315,-137,59749,101
2021,11,4.9,8.12,-5.58,1.37,59795,71.884,77.899,302,11,54568,93
2014,6,3.27,-6.15,-8.49,9.46,67792,55.096,30.5,-164,315,66827,134
2019,5,5.59,-4.34,-8.96,9.32,53440,-121.113,-84.106,395,209,66981,177
2021,6,0.8,-9.75,-4.2,2.6,51866,-15.46,39.76,-193,-254,67915,99
2016,4,-2.52,3.13,-7.51,7.37,69925,107.899,25.554,408,-413,63546,107
2021,1,9.15,3.96,-3.23,4.14,62144,99.273,39.365,-7,484,63286,88
2023,3,-4.59,-8.23,-4.02,0.83,69311,-7.381,-8.469,-291,-375,62437,267
2017,12,-8.71,-1.14,3.61,2.75,53631,-21.991,59.788,-76,-34,68170,395
2021,12,-1.77,-2.57,8.11,1.89,51774,-124.378,7.033,259,-92,67162,51
2021,4,-3.4,-3.83,-3.87,2.08,63736,-125.642,-7.255,314,229,55048,454
2019,12,6.78,2.35,3.53,3.13,63223,-154.767,-78.286,429,-318,54395,72
2012,7,-9.99,1.25,-3.14,9.63,56455,14.025,-51.385,355,494,68763,83
2014,2,-6.86,6.85,-1.34,0.68,66163,78.472,-76.643,49,-158,60270,329
2021,11,-7.59,-8.33,6.96,9.19,53403,-121.762,-65.937,28,-255,57605,161
2019,10,-4.45,-8.92,7.31,9.34,65452,-36.562,55.573,236,251,55350,270
2022,8,6.04,-5.86,0.96,0.47,52959,131.221,-50.006,-368,121,58219,487
2014,8,2.5,-3.6,-7.42,8.14,60827,-152.133,-37.954,-414,345,57165,430
2019,6,6.07,-7.64,-0.26,8.61,61519,57.22,17.643,-25,-138,67297,147
2020,11,9.96,-5.68,5.45,6.05,52359,-135.433,1.418,88,-192,58760,314
2017,6,4.94,-8.99,9.84,8.03,64529,-91.407,73.328,-138,37,54510,53
2013,1,-7.51,-1.49,8.54,6.81,51944,-124.616,47.509,-294,-181,56350,257
2022,6,5.44,-1.28,7.36,7.38,58033,170.187,0.36,5,-111,53937,310
2023,1,7.09,-3.15,9.65,5.61,69851,-143.307,35.298,79,122,61453,484
2021,10,7.0,-4.26,-5.87,9.41,51934,-61.066,8.119,-347,-113,58147,261
2013,1,7.05,8.64,-3.54,7.51,64403,71.741,-7.034,261,441,55597,486
2017,5,-8.6,-7.21,-1.64,4.27,67302,63.905,75.081,490,404,52218,207
2021,11,-9.6,3.13,7.52,5.69,67223,-11.875,-82.096,-262,397,69792,266
2020,7,1.48,1.47,-5.98,9.7,56752,-145.207,21.302,-249,313,52486,316
2012,6,2.67,5.92,-7.02,4.27,57862,120.12,49.012,-214,-246,56020,121
2021,10,-9.83,-4.92,6.58,6.56,58462,-24.347,-24.403,-89,-285,63735,386
2023,9,-8.26,-7.39,2.62,8.57,66261,-7.03,31.046,358,-122,69764,40
2015,9,5.65,5.16,3.51,2.08,64326,31.473,21.262,368,-15,69519,465
2019,10,-0.27,7.41,0.85,2.36,53639,42.127,74.055,-442,-435,61357,230
2019,11,3.43,-6.71,3.84,0.04,52508,-113.196,-64.801,441,371,60572,456
2022,10,3.99,2.93,2.81,4.8,56499,-176.654,71.417,192,225,60215,125
2022,2,7.89,-5.23,0.37,2.33,69506,-105.286,-41.551,158,-455,58936,329
2023,6,5.18,0.83,-0.75,4.49,64025,171.382,28.681,-288,54,53221,43
2016,9,-8.08,-1.82,-1.46,1.35,68571,98.565,-30.429,-201,-190,60262,175
2019,10,1.9,-0.28,-9.88,8.1,61495,-71.089,73.251,468,279,55542,305
2019,1,7.14,-6.65,0.63,5.09,64871,98.663,-44.729,-184,285,66465,421
2021,2,5.04,1.8,-4.62,9.45,60832,19.97,66.959,-59,-483,60782,486
2021,12,-1.18,-8.72,9.16,5.69,64974,46.345,67.841,-322,232,51720,185
2021,9,7.39,-4.7,-1.36,7.01,51689,34.68,59.032,-108,466,57114,292
2018,9,-6.09,-4.76,-1.38,8.51,51341,154.661,-19.76,-380,-262,53323,218
2017,11,-4.2,-3.1,9.52,2.37,58015,-9.31,-56.745,328,319,64570,352
2018,11,6.92,4.24,3.72,0.03,68592,-78.322,84.499,224,275,68747,113
2023,6,-6.23,9.64,8.03,7.46,66197,73.267,-61.656,-450,-278,52198,376
2019,6,6.17,0.97,-5.45,3.69,66382,-5.264,-21.005,-464,11,50674,136
2013,9,8.92,1.97,-4.05,0.98,52828,174.686,29.5,-109,279,60091,375
2020,4,7.57,5.9,-0.54,1.77,66339,-83.559,-77.493,-265,-282,50655,459
2016,5,1.3,8.96,-4.85,3.8,69839,72.939,-82.662,265,473,66193,303
